
="",="2001",="2003",="2005",="2007",="2009",="2011",="2001",="2003",="2005",="2007",="2009",="2011",="2001",="2003",="2005",="2007",="2009",="2011"

="hmvalchg2yrsback",="4.47e-09",="-6.61e-08",="-0.000000110",="0.000000162",="-1.83e-08",="3.30e-08",="-0.000000336*",="-3.27e-08",="-0.000000403***",="-0.000000134",="-3.72e-08",="-0.000000133*",="-0.000000218",="-3.01e-08",="-0.000000329***",="-0.000000108",="-2.48e-08",="-0.000000111*"
="",="(0.03)",="(-0.40)",="(-0.97)",="(1.51)",="(-0.25)",="(0.43)",="(-1.91)",="(-0.18)",="(-3.44)",="(-1.26)",="(-0.55)",="(-1.87)",="(-1.49)",="(-0.21)",="(-3.40)",="(-1.18)",="(-0.43)",="(-1.82)"

="N",="2868",="3086",="3233",="3335",="3617",="3647",="2868",="3086",="3233",="3335",="3617",="3647",="2868",="3086",="3233",="3335",="3617",="3647"

="t statistics in parentheses"
="* p<.1, ** p<.05, *** p<.01"

="",="2001",="2003",="2005",="2007",="2009",="2011",="2001",="2003",="2005",="2007",="2009",="2011",="2001",="2003",="2005",="2007",="2009",="2011"

="hmvalincr2yrsback",="0.0379*",="-0.00726",="-0.00129",="0.0301*",="-0.0104",="0.00403",="0.0255",="-0.0155",="-0.00750",="0.0173",="-0.0327*",="0.00138",="0.0272",="-0.0142",="-0.00533",="0.0121",="-0.0294**",="-0.00130"
="",="(1.90)",="(-0.38)",="(-0.06)",="(1.71)",="(-0.58)",="(0.24)",="(1.25)",="(-0.75)",="(-0.36)",="(0.98)",="(-1.95)",="(0.09)",="(1.61)",="(-0.86)",="(-0.31)",="(0.81)",="(-2.03)",="(-0.10)"

="N",="2868",="3086",="3233",="3335",="3617",="3647",="2868",="3086",="3233",="3335",="3617",="3647",="2868",="3086",="3233",="3335",="3617",="3647"

="t statistics in parentheses"
="* p<.1, ** p<.05, *** p<.01"

="",="2001",="2003",="2005",="2007",="2009",="2011",="2001",="2003",="2005",="2007",="2009",="2011",="2001",="2003",="2005",="2007",="2009",="2011"

="hmvalincr2yrsback_gt2pct",="0.0384",="-0.0119",="-0.0358",="0.0387",="-0.00761",="-0.0326",="-0.0315",="-0.0684",="-0.101***",="-0.0324",="0.0119",="-0.0820*",="-0.0167",="-0.0467",="-0.0689**",="-0.0161",="0.0157",="-0.0704*"
="",="(0.89)",="(-0.27)",="(-1.01)",="(0.84)",="(-0.13)",="(-0.63)",="(-0.72)",="(-1.40)",="(-2.71)",="(-0.70)",="(0.21)",="(-1.69)",="(-0.46)",="(-1.20)",="(-2.24)",="(-0.41)",="(0.32)",="(-1.69)"

="N",="3058",="3301",="3488",="3586",="3747",="3756",="3058",="3301",="3488",="3586",="3747",="3756",="3058",="3301",="3488",="3586",="3747",="3756"

="t statistics in parentheses"
="* p<.1, ** p<.05, *** p<.01"

="",="2001",="2003",="2005",="2007",="2009",="2011",="2001",="2003",="2005",="2007",="2009",="2011",="2001",="2003",="2005",="2007",="2009",="2011"

="hmvalchg2yrsback_lag1",="",="-0.000000201",="0.000000127",="-0.000000232**",="8.04e-08",="0.000000282***",="",="-0.000000684***",="0.000000308*",="-8.14e-08",="-0.000000158*",="0.000000152**",="",="-0.000000369**",="0.000000229",="-0.000000104",="-8.43e-08",="0.000000108*"
="",="",="(-1.12)",="(0.74)",="(-2.21)",="(0.79)",="(3.58)",="",="(-3.48)",="(1.72)",="(-0.77)",="(-1.66)",="(2.05)",="",="(-2.36)",="(1.54)",="(-1.17)",="(-1.01)",="(1.70)"

="N",="3058",="2629",="2712",="2837",="3004",="3157",="3058",="2629",="2712",="2837",="3004",="3157",="3058",="2629",="2712",="2837",="3004",="3157"

="t statistics in parentheses"
="* p<.1, ** p<.05, *** p<.01"

="",="2001",="2003",="2005",="2007",="2009",="2011",="2001",="2003",="2005",="2007",="2009",="2011",="2001",="2003",="2005",="2007",="2009",="2011"

="hmvalincr2yrsback_lag1",="",="0.0329",="-0.00325",="-0.00850",="0.0425**",="0.0104",="",="0.0203",="-0.00409",="0.0217",="0.00538",="-0.0256",="",="0.0264",="-0.00880",="0.00876",="0.0130",="-0.0140"
="",="",="(1.57)",="(-0.16)",="(-0.40)",="(2.34)",="(0.55)",="",="(0.88)",="(-0.19)",="(1.00)",="(0.31)",="(-1.44)",="",="(1.44)",="(-0.50)",="(0.48)",="(0.87)",="(-0.92)"

="N",="3058",="2629",="2712",="2837",="3004",="3157",="3058",="2629",="2712",="2837",="3004",="3157",="3058",="2629",="2712",="2837",="3004",="3157"

="t statistics in parentheses"
="* p<.1, ** p<.05, *** p<.01"

="",="2001",="2003",="2005",="2007",="2009",="2011",="2001",="2003",="2005",="2007",="2009",="2011",="2001",="2003",="2005",="2007",="2009",="2011"

="hmvalincr2yrsback_gt2pct_lag1",="",="0.0664",="0.0212",="0.0455",="-0.0129",="0.0263",="",="0.0339",="-0.0141",="0.0165",="-0.0145",="-0.00937",="",="0.0318",="-0.0285",="0.0178",="-0.0138",="-0.0331"
="",="",="(1.47)",="(0.44)",="(1.18)",="(-0.28)",="(0.39)",="",="(0.68)",="(-0.28)",="(0.42)",="(-0.33)",="(-0.15)",="",="(0.80)",="(-0.68)",="(0.54)",="(-0.36)",="(-0.61)"

="N",="3058",="2796",="2912",="3058",="3221",="3268",="3058",="2796",="2912",="3058",="3221",="3268",="3058",="2796",="2912",="3058",="3221",="3268"

="t statistics in parentheses"
="* p<.1, ** p<.05, *** p<.01"
