                                        The SAS System     14:25 Sunday, September 25, 2016   1

                                   Obs    id1999    headrace

                                     1      197         2   
                                     2      207         2   
                                     3      458         2   
                                     4      463         2   
                                     5      578         1   
                                     6      770         1   
                                     7     1185         1   
                                     8     1284         2   
                                     9     1286         1   
                                    10     1404         1   
                                    11     1466         1   
                                    12     1602         1   
                                    13     1783         1   
                                    14     2245         2   
                                    15     2568         1   
                                    16     2627         1   
                                    17     2757         1   
                                    18     2777         1   
                                    19     2940         2   
                                    20     3250         2   
                                    21     3544         1   
                                    22     3908         5   
                                    23     4027         2   
                                    24     4081         1   
                                    25     4311         1   
                                    26     4649         2   
                                    27     4778         2   
                                    28     4851         2   
                                    29     4866         2   
                                    30     4894         1   
                                    31     4945         1   
                                    32     5077         1   
                                    33     5322         1   
                                    34     5452         1   
                                    35     5540         2   
                                    36     5850         2   
                                    37     5866         2   
                                    38     5913         2   
                                    39     6148         2   
                                    40     6276         1   
                                    41     6480         1   
                                    42     6592         2   
                                    43     6650         1   
                                    44     6718         2   
                                    45     6816         1   
                                    46     6860         1   
                                    47     6865         2   
                                    48     6985         1   
                                        The SAS System     14:25 Sunday, September 25, 2016   2

                                   Obs    id2001    headrace

                                     1       37         1   
                                     2      387         1   
                                     3      440         1   
                                     4      492         1   
                                     5      689         1   
                                     6      853         1   
                                     7     1126         1   
                                     8     1207         1   
                                     9     1228         2   
                                    10     1375         2   
                                    11     1529         2   
                                    12     1531         2   
                                    13     1535         1   
                                    14     1692         1   
                                    15     1738         1   
                                    16     1839         1   
                                    17     2044         1   
                                    18     2079         1   
                                    19     2130         2   
                                    20     2166         1   
                                    21     2271         2   
                                    22     2408         2   
                                    23     2499         1   
                                    24     2601         1   
                                    25     2614         1   
                                    26     2628         1   
                                    27     2646         1   
                                    28     2860         1   
                                    29     2921         1   
                                    30     2938         1   
                                    31     2946         2   
                                    32     2962         1   
                                    33     2963         1   
                                    34     3142         3   
                                    35     3286         2   
                                    36     3394         1   
                                    37     3419         1   
                                    38     3495         1   
                                    39     3496         1   
                                    40     3498         2   
                                    41     3505         1   
                                    42     3608         2   
                                    43     3685         1   
                                    44     3836         1   
                                    45     3848         1   
                                    46     3892         1   
                                    47     3917         2   
                                    48     3945         1   
                                    49     3963         1   
                                    50     3965         1   
                                    51     3983         1   
                                    52     4059         2   
                                    53     4071         2   
                                    54     4178         2   
                                        The SAS System     14:25 Sunday, September 25, 2016   3

                                   Obs    id2001    headrace

                                    55     4214         1   
                                    56     4222         1   
                                    57     4280         1   
                                    58     4282         1   
                                    59     4332         2   
                                    60     4443         2   
                                    61     4803         1   
                                    62     4959         2   
                                    63     5045         1   
                                    64     5079         2   
                                    65     5240         2   
                                    66     5351         2   
                                    67     5387         2   
                                    68     5466         2   
                                    69     5744         1   
                                    70     5797         1   
                                    71     5831         1   
                                    72     5841         1   
                                    73     5875         2   
                                    74     5972         1   
                                    75     6023         1   
                                    76     6072         2   
                                    77     6115         1   
                                    78     6162         2   
                                    79     6301         2   
                                    80     6329         1   
                                    81     6448         1   
                                    82     6477         2   
                                    83     6507         1   
                                    84     6515         1   
                                    85     6519         2   
                                    86     6537         1   
                                    87     6578         1   
                                    88     6597         1   
                                    89     6606         2   
                                    90     6649         1   
                                    91     6801         1   
                                    92     7055         1   
                                    93     7082         1   
                                    94     7088         1   
                                    95     7222         2   
                                    96     7223         1   
                                    97     7260         4   
                                    98     7309         2   
                                    99     7344         2   
                                   100     7428         1   
                                   101     7456         1   
                                   102     7457         2   
                                        The SAS System     14:25 Sunday, September 25, 2016   4

                                   Obs    id2003    headrace

                                     1      188         1   
                                     2      688         2   
                                     3      842         2   
                                     4      963         1   
                                     5      971         2   
                                     6     1060         1   
                                     7     1112         1   
                                     8     1294         1   
                                     9     1518         1   
                                    10     1555         2   
                                    11     1904         1   
                                    12     1972         1   
                                    13     2187         1   
                                    14     2294         2   
                                    15     2349         1   
                                    16     2386         1   
                                    17     2470         1   
                                    18     2572         1   
                                    19     2620         1   
                                    20     2642         2   
                                    21     2685         1   
                                    22     2689         1   
                                    23     2702         2   
                                    24     2885         2   
                                    25     3040         1   
                                    26     3075         1   
                                    27     3103         1   
                                    28     3130         1   
                                    29     3133         2   
                                    30     3166         2   
                                    31     3172         1   
                                    32     3179         1   
                                    33     3284         1   
                                    34     3321         2   
                                    35     3323         2   
                                    36     3405         2   
                                    37     3446         2   
                                    38     3464         2   
                                    39     3569         1   
                                    40     3574         1   
                                    41     3604         1   
                                    42     3630         2   
                                    43     3637         1   
                                    44     3660         1   
                                    45     3695         2   
                                    46     3725         1   
                                    47     3754         1   
                                    48     3807         1   
                                    49     3823         2   
                                    50     3966         1   
                                    51     4105         2   
                                    52     4232         3   
                                    53     4334         2   
                                    54     4386         2   
                                        The SAS System     14:25 Sunday, September 25, 2016   5

                                   Obs    id2003    headrace

                                    55     4401         2   
                                    56     4455         1   
                                    57     4600         2   
                                    58     4614         1   
                                    59     4662         2   
                                    60     4676         2   
                                    61     4695         1   
                                    62     4756         1   
                                    63     4759         1   
                                    64     4790         1   
                                    65     4805         2   
                                    66     4910         1   
                                    67     4913         1   
                                    68     4936         1   
                                    69     4971         1   
                                    70     5014         2   
                                    71     5090         1   
                                    72     5110         2   
                                    73     5163         2   
                                    74     5177         1   
                                    75     5338         2   
                                    76     5378         1   
                                    77     5385         7   
                                    78     5426         2   
                                    79     5445         1   
                                    80     5496         1   
                                    81     5622         1   
                                    82     5705         1   
                                    83     5790         2   
                                    84     5797         1   
                                    85     5798         2   
                                    86     5827         1   
                                    87     5868         1   
                                    88     5927         1   
                                    89     5954         1   
                                    90     6023         2   
                                    91     6047         1   
                                    92     6212         1   
                                    93     6313         1   
                                    94     6348         1   
                                    95     6363         1   
                                    96     6366         1   
                                    97     6379         1   
                                    98     6446         2   
                                    99     6522         1   
                                   100     6581         1   
                                   101     6637         4   
                                   102     6660         1   
                                   103     6665         1   
                                   104     6893         2   
                                   105     6962         1   
                                   106     6997         1   
                                   107     7033         1   
